host_iso,host_ns,line
2026-07-16T19:04:16.616416+00:00,23637547333,"CSI,A1,4665,98:0d:af:75:12:28,-13,0,4,594126388,64,70,1,24,25,25,24,23,23,22,22,21,21,20,20,20,21,21,17,18,18,18,17,16,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,15,16,16,16,17,18,18,19,19,19,20,20,20,20,20,21,21,21,23,23,23,23,24,24,24,25"
2026-07-16T19:04:16.620577+00:00,23641686250,"CSI,A1,4666,98:0d:af:75:12:28,-16,0,4,594132429,64,70,1,44,43,44,42,41,41,41,37,38,37,37,36,35,37,36,32,32,32,31,30,28,27,26,27,25,0,0,0,0,0,0,0,0,0,0,0,27,28,28,28,29,31,33,33,35,34,36,36,36,36,36,37,37,38,40,41,41,42,44,43,43,44"
2026-07-16T19:04:16.628649+00:00,23649750083,"CSI,A1,4667,98:0d:af:75:12:28,-15,0,4,594132876,64,70,1,18,17,18,18,17,17,17,15,15,15,15,15,15,15,15,13,14,13,13,12,11,11,10,10,11,0,0,0,0,0,0,0,0,0,0,0,11,12,11,11,12,12,14,14,14,14,15,15,15,15,15,15,15,15,17,17,17,17,18,18,17,18"
2026-07-16T19:04:16.674374+00:00,23695510166,"CSI,A1,4668,98:0d:af:75:12:28,-13,0,4,594188823,64,70,1,24,24,24,25,23,23,23,21,21,21,21,21,21,21,21,18,18,18,17,16,16,16,16,15,15,0,0,0,0,0,0,0,0,0,0,0,16,15,16,16,17,18,17,18,19,20,20,20,20,20,20,20,21,20,23,23,23,23,25,24,25,25"
2026-07-16T19:04:17.069869+00:00,24090973916,"STAT,A1,594698,10128,4668,4668,0,215172"
2026-07-16T19:04:17.369059+00:00,24390157708,"CSI,A1,4669,fe:e3:be:47:e1:f0,-44,0,4,594878958,64,70,1,21,23,23,23,23,22,21,20,18,17,15,14,12,12,12,11,11,12,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,11,11,11,10,9,9,8,8,9,9,11,13,14,16,18,19,20,20,21,20,20,19,17,17,17,17"
2026-07-16T19:04:17.473633+00:00,24494693958,"CSI,A1,4670,fe:e3:be:47:e1:f0,-44,0,4,594987888,64,70,1,17,19,20,20,20,19,18,17,15,13,12,11,9,9,9,10,10,10,10,10,9,10,9,9,8,0,0,0,0,0,0,0,0,0,0,0,9,9,9,10,9,9,8,8,7,8,9,10,11,14,14,16,17,18,18,18,17,17,16,15,15,15"
2026-07-16T19:04:18.047730+00:00,25068765541,"CSI,A1,4671,98:0d:af:75:12:28,-13,0,4,595560007,64,70,1,24,25,23,24,23,23,23,20,20,20,20,20,21,19,20,18,16,16,16,16,16,15,15,14,14,0,0,0,0,0,0,0,0,0,0,0,14,15,15,16,17,17,17,18,19,19,20,20,20,21,21,20,21,20,23,23,23,24,23,24,24,24"
2026-07-16T19:04:18.054093+00:00,25075129083,"CSI,A1,4672,46:85:da:11:dc:b9,-75,0,4,595560510,64,88,5,22,23,24,22,20,19,17,16,15,16,17,17,17,18,18,14,11,6,3,4,8,11,14,18,21,0,0,0,0,0,0,0,0,0,0,0,30,33,32,32,30,27,22,15,10,7,9,16,21,29,33,35,38,38,38,36,31,27,19,15,11,10"
2026-07-16T19:04:18.058604+00:00,25079631625,"CSI,A1,4673,98:0d:af:75:12:28,-13,0,4,595570566,64,70,1,27,28,27,27,27,26,26,22,22,23,23,23,23,22,22,21,19,19,18,17,19,18,17,16,16,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,19,20,20,21,21,22,23,22,24,24,24,23,23,22,27,26,27,26,26,27,28,27"
2026-07-16T19:04:18.064119+00:00,25085156041,"CSI,A1,4674,98:0d:af:75:12:28,-13,0,4,595572452,64,70,1,25,25,26,24,24,24,24,22,22,21,22,21,21,21,21,18,18,19,18,17,17,16,16,16,15,0,0,0,0,0,0,0,0,0,0,0,16,17,16,17,18,18,19,19,20,21,21,21,21,21,21,21,21,22,23,24,24,24,25,25,25,25"
